age,gender,region,household_size,mother_education,father_education,weekly_study_time,past_failures,school_support,family_support,paid_tutoring,internet_access,extracurricular_activities,absences,prior_grade_1,prior_grade_2,current_grade,eligible
18,Male,Urban,More than 3,2,1,3,0,No,No,Yes,Yes,Yes,6,15,14,14,1
18,Male,Urban,3 or fewer,4,4,2,0,No,Yes,Yes,Yes,Yes,9,15,13,15,0
18,Male,Urban,More than 3,4,2,2,0,No,Yes,Yes,Yes,Yes,11,12,11,11,0
17,Female,Urban,More than 3,4,3,3,0,No,Yes,Yes,Yes,No,0,15,15,15,1
18,Female,Urban,3 or fewer,2,1,2,1,No,No,No,Yes,No,12,12,12,13,1
17,Female,Rural,3 or fewer,3,1,4,0,No,Yes,Yes,No,No,6,18,18,18,1
18,Male,Rural,3 or fewer,3,2,3,0,No,Yes,Yes,Yes,Yes,8,14,13,14,1
17,Male,Urban,More than 3,3,3,1,0,No,Yes,Yes,Yes,No,4,14,12,11,0
19,Female,Urban,More than 3,4,4,2,0,No,Yes,Yes,Yes,Yes,0,10,9,0,0
18,Female,Urban,3 or fewer,4,3,2,0,No,Yes,Yes,Yes,No,10,10,8,8,0
18,Female,Urban,More than 3,4,3,4,0,No,Yes,Yes,Yes,No,0,14,13,14,0
18,Male,Urban,3 or fewer,4,4,1,0,No,Yes,Yes,Yes,No,5,16,15,16,0
18,Female,Urban,3 or fewer,4,4,2,0,No,Yes,No,Yes,No,14,12,10,11,0
17,Male,Urban,3 or fewer,4,4,1,0,No,No,Yes,Yes,No,0,11,11,10,0
17,Female,Urban,More than 3,4,2,3,0,No,Yes,Yes,Yes,No,0,15,12,14,1
17,Female,Urban,More than 3,3,2,4,0,No,Yes,Yes,Yes,Yes,0,17,17,18,1
19,Male,Urban,More than 3,3,3,2,1,No,Yes,No,Yes,Yes,20,15,14,13,1
18,Female,Urban,More than 3,2,4,2,1,No,Yes,Yes,Yes,Yes,8,14,12,12,0
20,Male,Urban,More than 3,3,2,1,0,No,No,No,No,Yes,0,17,18,18,1
19,Male,Urban,More than 3,4,4,1,1,No,Yes,Yes,Yes,No,38,8,9,8,0
19,Male,Rural,More than 3,3,3,2,1,No,No,No,No,Yes,0,15,12,12,1
19,Female,Urban,3 or fewer,1,1,2,1,Yes,Yes,No,Yes,Yes,18,12,10,10,0
19,Female,Urban,3 or fewer,1,2,2,1,No,No,No,No,Yes,0,9,9,0,0
19,Female,Urban,More than 3,2,1,2,0,No,Yes,No,Yes,No,20,14,12,13,1
19,Male,Urban,More than 3,1,2,2,1,No,No,No,Yes,No,3,13,11,11,1
19,Female,Urban,3 or fewer,3,2,2,1,No,Yes,Yes,Yes,No,22,13,10,11,0
19,Female,Urban,More than 3,1,1,3,2,No,No,No,Yes,No,14,15,13,13,1
19,Female,Rural,More than 3,2,3,3,1,No,No,No,Yes,No,40,13,11,11,0
18,Female,Urban,More than 3,2,1,2,0,No,Yes,Yes,Yes,Yes,0,8,8,0,0
18,Female,Urban,More than 3,4,3,3,0,No,Yes,Yes,Yes,Yes,9,9,10,9,0
17,Female,Rural,More than 3,3,4,3,0,No,Yes,Yes,Yes,Yes,0,11,11,10,0
18,Female,Urban,More than 3,4,4,2,0,No,Yes,Yes,Yes,No,2,11,11,11,0
17,Female,Urban,More than 3,4,3,2,0,No,Yes,Yes,Yes,No,23,13,13,13,0
17,Female,Urban,More than 3,2,2,2,0,No,Yes,No,No,No,12,11,9,9,0
17,Female,Rural,3 or fewer,2,2,3,0,No,Yes,Yes,Yes,Yes,3,11,11,11,1
17,Female,Urban,More than 3,3,1,3,0,No,Yes,No,Yes,No,1,12,14,15,1
17,Female,Urban,3 or fewer,0,2,3,0,No,No,No,Yes,No,0,16,15,15,1
18,Male,Urban,More than 3,4,4,3,0,No,No,No,Yes,Yes,3,9,12,11,0
17,Male,Urban,More than 3,3,3,1,0,No,No,No,Yes,Yes,3,14,15,16,1
17,Male,Rural,More than 3,2,2,1,0,No,Yes,No,Yes,No,8,11,10,10,0
17,Female,Urban,More than 3,4,4,3,0,No,Yes,Yes,Yes,Yes,7,10,9,9,0
17,Female,Urban,More than 3,4,4,3,0,No,Yes,Yes,Yes,No,4,14,14,14,0
18,Male,Urban,3 or fewer,2,2,4,0,No,Yes,No,Yes,Yes,2,9,8,8,0
17,Female,Rural,More than 3,2,4,3,0,No,Yes,No,Yes,No,7,12,14,14,0
18,Female,Urban,More than 3,3,3,2,0,No,No,No,Yes,Yes,0,7,0,0,0
18,Female,Urban,3 or fewer,2,2,2,0,No,No,No,Yes,Yes,0,8,8,0,0
18,Female,Rural,More than 3,2,2,4,0,No,No,No,No,Yes,0,10,9,0,0
17,Female,Urban,More than 3,3,4,3,0,No,No,No,Yes,No,16,16,15,15,1
19,Female,Rural,More than 3,3,1,3,1,No,No,Yes,No,No,12,14,13,13,1
17,Female,Urban,More than 3,3,2,2,0,No,Yes,Yes,Yes,No,0,7,8,0,0
18,Female,Urban,3 or fewer,3,3,4,0,No,Yes,No,Yes,No,7,16,15,17,1
17,Female,Rural,More than 3,3,2,2,0,No,Yes,Yes,Yes,No,4,9,10,10,0
19,Female,Urban,More than 3,2,1,3,1,No,No,Yes,Yes,Yes,4,11,12,11,1
18,Male,Urban,More than 3,4,4,2,1,No,Yes,No,Yes,Yes,0,10,10,0,0
18,Male,Urban,3 or fewer,3,4,2,0,No,No,No,Yes,Yes,11,16,15,15,1
17,Female,Urban,More than 3,2,2,2,1,No,Yes,No,Yes,No,0,9,8,0,0
18,Female,Urban,More than 3,2,3,3,0,No,Yes,No,Yes,No,4,11,10,10,0
18,Female,Urban,More than 3,3,2,3,0,No,No,No,Yes,No,7,13,13,14,1
18,Male,Rural,More than 3,4,3,3,0,No,No,No,Yes,No,9,16,15,16,1
18,Male,Urban,More than 3,4,3,3,0,No,Yes,Yes,Yes,No,0,10,10,9,0
17,Female,Urban,More than 3,4,3,3,0,No,Yes,Yes,Yes,Yes,0,13,15,15,1
18,Male,Rural,More than 3,3,2,1,1,No,Yes,No,Yes,No,10,11,13,13,0
19,Male,Rural,More than 3,1,1,2,3,No,No,No,Yes,No,8,8,7,8,0
17,Male,Urban,More than 3,3,3,2,0,No,Yes,Yes,Yes,No,2,13,13,13,0
18,Male,Urban,3 or fewer,1,3,1,1,No,No,No,Yes,No,7,8,7,8,0
19,Male,Rural,More than 3,1,1,1,1,No,Yes,No,Yes,No,4,8,8,8,0
17,Male,Rural,More than 3,4,3,2,0,No,Yes,Yes,Yes,Yes,4,13,11,11,0
18,Female,Urban,More than 3,3,3,2,0,No,Yes,No,No,No,0,10,9,9,0
17,Female,Rural,More than 3,4,4,2,0,No,Yes,Yes,Yes,Yes,4,12,13,13,0
17,Female,Urban,3 or fewer,3,2,2,0,No,No,No,No,No,2,12,12,11,1
18,Male,Urban,3 or fewer,1,1,1,0,No,No,No,Yes,No,4,10,10,10,1
18,Female,Urban,3 or fewer,1,1,3,0,No,No,No,Yes,No,0,18,16,16,1
18,Female,Rural,3 or fewer,1,4,2,0,No,No,No,No,No,0,13,13,13,1
18,Male,Rural,3 or fewer,1,1,2,1,No,No,No,No,Yes,2,13,12,12,1
18,Female,Urban,More than 3,3,3,2,0,No,Yes,No,Yes,No,0,11,11,10,0
17,Female,Urban,3 or fewer,4,4,2,0,No,Yes,Yes,Yes,Yes,0,16,15,15,1
17,Female,Rural,More than 3,1,2,2,0,No,No,No,No,No,0,12,11,12,1
18,Male,Rural,More than 3,1,3,2,0,No,Yes,Yes,No,No,4,10,10,10,0
18,Male,Urban,3 or fewer,4,4,3,0,No,No,Yes,Yes,No,0,13,13,13,0
17,Female,Rural,More than 3,1,1,1,1,No,Yes,Yes,Yes,No,0,7,6,0,0
18,Female,Urban,More than 3,2,3,1,0,No,Yes,Yes,Yes,No,0,11,10,10,0
18,Female,Rural,More than 3,4,4,2,0,No,Yes,Yes,Yes,No,10,14,12,11,0
19,Female,Urban,3 or fewer,3,2,2,2,No,No,No,No,Yes,4,7,7,9,0
18,Male,Rural,3 or fewer,1,2,1,0,No,Yes,Yes,Yes,Yes,3,14,12,12,1
17,Female,Urban,More than 3,2,2,3,0,No,No,No,No,Yes,8,13,11,11,1
17,Female,Rural,More than 3,1,2,1,0,No,No,No,Yes,Yes,14,6,5,5,0
18,Female,Rural,3 or fewer,4,4,3,0,No,No,No,Yes,No,0,19,18,19,1
18,Female,Rural,More than 3,1,1,3,0,No,No,No,Yes,No,2,8,8,10,1
20,Female,Urban,More than 3,4,2,3,2,No,Yes,Yes,Yes,No,4,15,14,15,0
18,Female,Rural,3 or fewer,4,4,2,0,No,No,Yes,Yes,Yes,4,8,9,10,0
18,Female,Urban,More than 3,3,3,2,0,No,No,Yes,Yes,No,0,15,15,15,1
17,Female,Rural,More than 3,3,1,2,0,No,Yes,Yes,Yes,Yes,17,10,10,10,0
18,Male,Urban,More than 3,4,4,2,0,No,No,Yes,Yes,Yes,4,15,14,14,1
18,Male,Rural,More than 3,2,1,1,0,No,No,No,Yes,Yes,5,7,6,7,0
17,Male,Urban,More than 3,2,3,2,0,No,No,No,Yes,Yes,2,11,11,10,1
19,Male,Rural,More than 3,1,1,1,1,No,No,No,No,No,0,6,5,0,0
18,Male,Rural,More than 3,4,2,1,1,No,No,Yes,No,No,14,6,5,5,0
18,Female,Rural,More than 3,2,2,3,0,No,No,Yes,No,No,2,10,9,10,1
18,Female,Rural,More than 3,4,4,1,0,No,Yes,Yes,Yes,Yes,7,6,5,6,0
19,Female,Rural,More than 3,2,3,3,1,No,No,No,Yes,Yes,0,7,5,0,0
18,Female,Urban,3 or fewer,3,1,2,0,No,Yes,Yes,Yes,No,0,7,9,8,0
18,Female,Urban,More than 3,1,1,2,1,No,No,No,No,Yes,0,6,5,0,0
20,Male,Urban,3 or fewer,2,2,2,2,No,Yes,Yes,No,No,11,9,9,9,0
17,Male,Urban,3 or fewer,3,1,1,0,No,No,No,Yes,No,3,14,16,16,1
21,Male,Rural,More than 3,1,1,1,3,No,No,No,No,No,3,10,8,7,0
18,Male,Rural,3 or fewer,3,2,1,0,No,No,No,Yes,No,0,11,12,10,0
19,Male,Urban,3 or fewer,1,1,1,0,No,No,No,Yes,No,5,8,9,9,0
